judgment	duration	metrics.worker.agreement	output.keywords	output.keywords.agreement	started	submitted	unit	worker
1521312780	93	0.5455447256	Counter({'masturbating': 1, 'clicking_sound': 1, 'tapping': 1})	0.5455447256	2015-01-08 13:33:14	2015-01-08 13:34:47	637324977	30983236
1521314411	33	0.3333333333	Counter({'tapping': 1})	0.3333333333	2015-01-08 13:38:43	2015-01-08 13:39:16	637324977	27077723
1521321357	159	0.1980295086	Counter({'beat': 1, 'tap': 1, 'finger_snapping': 1})	0.1980295086	2015-01-08 13:52:54	2015-01-08 13:55:33	637324977	6228981
1521321650	46	0.3333333333	Counter({'tapping': 1})	0.3333333333	2015-01-08 13:55:21	2015-01-08 13:56:07	637324977	29611985
1521328122	79	0.3692744729	Counter({'clicking_sound': 1, 'soft': 1})	0.3692744729	2015-01-08 14:10:13	2015-01-08 14:11:32	637324977	13763729
1521244715	51	0.4170288281	Counter({'crash': 1})	0.4170288281	2015-01-08 11:35:16	2015-01-08 11:36:07	637324978	11295497
1521273495	46	0.2519763153	Counter({'bang': 1, 'explosion': 1, 'missile': 1})	0.2519763153	2015-01-08 12:33:23	2015-01-08 12:34:09	637324978	29686407
1521280687	57	0	Counter({'thunder': 1})	0	2015-01-08 12:45:29	2015-01-08 12:46:26	637324978	27939470
1521305816	54	0.4170288281	Counter({'crash': 1})	0.4170288281	2015-01-08 13:18:58	2015-01-08 13:19:52	637324978	21507445
1521307886	63	0	Counter({'guitar': 1})	0	2015-01-08 13:23:51	2015-01-08 13:24:54	637324978	28755767
1521314564	36	0.2	Counter({'gunshot': 1})	0.2	2015-01-08 13:39:17	2015-01-08 13:39:53	637324978	27077723
1521322622	35	0	Counter({'craching': 1})	0	2015-01-08 13:57:49	2015-01-08 13:58:24	637324978	29611985
1521322675	173	0.1203858531	Counter({'rattle': 1, 'bang': 1, 'snake': 1})	0.1203858531	2015-01-08 13:55:33	2015-01-08 13:58:26	637324978	6228981
1521327562	156	0.3973597071	Counter({'crash': 1, 'explosion': 1, 'loud': 1})	0.3973597071	2015-01-08 14:07:35	2015-01-08 14:10:11	637324978	13763729
1521328390	69	0.2	Counter({'gunshot': 1})	0.2	2015-01-08 14:11:01	2015-01-08 14:12:10	637324978	25523588
1521244716	51	0.179605302	Counter({'siren': 1})	0.179605302	2015-01-08 11:35:16	2015-01-08 11:36:07	637324979	11295497
1521273496	46	0.1072112535	Counter({'siren': 1, 'warning': 1, 'traffic': 1})	0.1072112535	2015-01-08 12:33:23	2015-01-08 12:34:09	637324979	29686407
1521280680	57	0.3713906764	Counter({'horn_sound': 1})	0.3713906764	2015-01-08 12:45:29	2015-01-08 12:46:26	637324979	27939470
